country_name,absolute_url
India,www.worldometers.info//world-population/india-population/
China,www.worldometers.info//world-population/china-population/
United States,www.worldometers.info//world-population/us-population/
Indonesia,www.worldometers.info//world-population/indonesia-population/
Pakistan,www.worldometers.info//world-population/pakistan-population/
Nigeria,www.worldometers.info//world-population/nigeria-population/
Brazil,www.worldometers.info//world-population/brazil-population/
Bangladesh,www.worldometers.info//world-population/bangladesh-population/
Russia,www.worldometers.info//world-population/russia-population/
Mexico,www.worldometers.info//world-population/mexico-population/
Ethiopia,www.worldometers.info//world-population/ethiopia-population/
Japan,www.worldometers.info//world-population/japan-population/
Philippines,www.worldometers.info//world-population/philippines-population/
Egypt,www.worldometers.info//world-population/egypt-population/
DR Congo,www.worldometers.info//world-population/democratic-republic-of-the-congo-population/
Vietnam,www.worldometers.info//world-population/vietnam-population/
Iran,www.worldometers.info//world-population/iran-population/
Turkey,www.worldometers.info//world-population/turkey-population/
Germany,www.worldometers.info//world-population/germany-population/
Thailand,www.worldometers.info//world-population/thailand-population/
United Kingdom,www.worldometers.info//world-population/uk-population/
Tanzania,www.worldometers.info//world-population/tanzania-population/
France,www.worldometers.info//world-population/france-population/
South Africa,www.worldometers.info//world-population/south-africa-population/
Italy,www.worldometers.info//world-population/italy-population/
Kenya,www.worldometers.info//world-population/kenya-population/
Myanmar,www.worldometers.info//world-population/myanmar-population/
Colombia,www.worldometers.info//world-population/colombia-population/
South Korea,www.worldometers.info//world-population/south-korea-population/
Uganda,www.worldometers.info//world-population/uganda-population/
Sudan,www.worldometers.info//world-population/sudan-population/
Spain,www.worldometers.info//world-population/spain-population/
Argentina,www.worldometers.info//world-population/argentina-population/
Algeria,www.worldometers.info//world-population/algeria-population/
Iraq,www.worldometers.info//world-population/iraq-population/
Afghanistan,www.worldometers.info//world-population/afghanistan-population/
Poland,www.worldometers.info//world-population/poland-population/
Canada,www.worldometers.info//world-population/canada-population/
Morocco,www.worldometers.info//world-population/morocco-population/
Saudi Arabia,www.worldometers.info//world-population/saudi-arabia-population/
Ukraine,www.worldometers.info//world-population/ukraine-population/
